timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
27,-0.49128907918930054,-2.164910316467285,0.023796724155545235,36.7151319,3.1823525,50.29,-5.51,-8.31,-1.63,84,235,10.117137908935547,9.983336448669434
28,-0.4219626784324646,-2.163463592529297,0.027417823672294617,36.7150571,3.1822124,52.79,-5.49,-8.23,-1.63,84,236,10.038413047790527,9.90428352355957
29,-0.2065318375825882,-2.1680703163146973,-0.012213209643959999,36.7149759,3.1820619,55.52,-4.44,-6.6,-1.31,83,235,8.068000793457031,7.9595723152160645
30,-0.05984311178326607,-2.1567275524139404,0.04322829097509384,36.7149274,3.181971,57.01,-2.81,-4.34,-0.62,83,236,5.216711521148682,5.179196357727051
31,-0.1389022022485733,-2.104227304458618,-0.01226115133613348,36.7148955,3.1819059,57.55,-2.12,-3.71,-0.14,83,239,4.282800197601318,4.28038215637207
32,-0.13582202792167664,-2.0862245559692383,0.01482438575476408,36.7148636,3.1818342,57.59,-2.0,-3.69,-0.01,82,240,4.200444221496582,4.200424671173096
33,-0.01725771650671959,-2.0900144577026367,-0.025517141446471214,36.7148379,3.1817762,57.57,-1.6,-2.92,0.09,82,240,3.341942310333252,3.3406262397766113
34,0.03628772869706154,-2.3810958862304688,-0.05468020960688591,36.7148169,3.1817374,56.37,-1.17,-1.22,1.33,82,223,2.1580233573913574,1.699224591255188
35,-0.054401036351919174,-2.469405174255371,0.015382402576506138,36.7148023,3.1817223,54.1,-1.03,-0.8,1.44,81,218,1.9479453563690186,1.3085194826126099
36,-0.04762192443013191,-2.4688193798065186,-0.023129623383283615,36.714786,3.1817069,51.48,-1.05,-0.84,1.43,81,218,1.9729083776474,1.3577572107315063
37,-0.034239280968904495,-2.469609260559082,0.028753984719514847,36.7147716,3.1816926,49.25,-1.06,-0.87,1.44,81,218,1.9968501329421997,1.3771369457244873
38,-0.034981563687324524,-2.469578266143799,-0.025341734290122986,36.714757,3.181678,47.0,-1.07,-0.89,1.45,80,218,2.0165176391601562,1.3993258476257324
39,-0.010229966603219509,-2.4691131114959717,0.013447129167616367,36.71474,3.181661,44.38,-1.07,-0.87,1.45,80,218,2.0052855014801025,1.379966378211975
40,-0.061516255140304565,-2.4697701930999756,-0.00547015992924571,36.7147255,3.1816464,42.14,-1.07,-0.89,1.46,79,218,2.0242228507995605,1.3954054117202759
41,-0.01917438767850399,-2.469684600830078,-0.020808059722185135,36.7147084,3.1816292,39.52,-1.07,-0.88,1.46,79,218,2.0234742164611816,1.391479253768921
42,-0.0504058301448822,-2.4701695442199707,0.022525500506162643,36.7146938,3.1816144,37.27,-1.06,-0.88,1.46,79,218,2.016300916671753,1.383345365524292
43,-0.008304934948682785,-2.4691591262817383,-0.006328296847641468,36.7146793,3.1815998,35.03,-1.07,-0.88,1.47,78,218,2.0281906127929688,1.3949841260910034
44,-0.022165970876812935,-2.4692389965057373,0.025916988030076027,36.7146623,3.1815826,32.41,-1.06,-0.88,1.48,78,218,2.023989200592041,1.3798763751983643
45,-0.03669542446732521,-2.4693405628204346,-0.02144298143684864,36.7146477,3.1815679,30.15,-1.06,-0.88,1.47,78,218,2.0235707759857178,1.386454463005066
46,-0.009594114497303963,-2.4695725440979004,0.00020607195619959384,36.7146307,3.1815506,27.53,-1.06,-0.86,1.47,77,218,2.018282651901245,1.3759424686431885
47,-0.05855007842183113,-2.469348669052124,-0.0038304177578538656,36.7146161,3.1815359,25.29,-1.06,-0.88,1.48,77,218,2.0297019481658936,1.3861714601516724
48,-0.008087385445833206,-2.469219446182251,0.0071305399760603905,36.7146015,3.1815212,23.03,-1.06,-0.87,1.47,77,218,2.022759437561035,1.3804842233657837
49,-0.05069471150636673,-2.4702165126800537,0.0230910275131464,36.7145845,3.1815041,20.4,-1.06,-0.88,1.47,76,218,2.0211474895477295,1.3841253519058228
50,-0.12028248608112335,-3.12034273147583,-0.1324317753314972,36.7145656,3.1814931,18.29,-1.9,-0.12,1.09,76,181,2.198377847671509,1.904006004333496
51,-0.19523105025291443,2.676741123199463,0.007905603386461735,36.714521,3.1815118,17.62,-3.64,1.8,-0.06,75,153,4.0639238357543945,4.063449382781982
52,-0.1714690625667572,2.679666757583618,-0.030173586681485176,36.7144672,3.181545,17.7,-4.07,2.04,0.03,75,153,4.56385612487793,4.563745021820068
